item_id,image_path,gender,master_category,sub_category,article_type,base_colour,season,usage,product_name
9452,deploy_data/images/9452.jpg,Men,Apparel,Topwear,Shirts,Red,Fall,Formal,John Miller Men Stripes White Red Shirts
38402,deploy_data/images/38402.jpg,Women,Accessories,Belts,Belts,Black,Summer,Casual,Baggit Women Hood Dabang Black Belt
44984,deploy_data/images/44984.jpg,Women,Accessories,Watches,Watches,White,Winter,Casual,Maxima Women White Dial Watch
10268,deploy_data/images/10268.jpg,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Clarks Men Hang Work Leather Black Formal Shoes
45856,deploy_data/images/45856.jpg,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,Vishudh Women Brown Kurta
32138,deploy_data/images/32138.jpg,Men,Apparel,Innerwear,Briefs,Blue,Summer,Casual,Playboy Men Blue Titanium Briefs
59435,deploy_data/images/59435.jpg,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,Arrow Men Black Formal Shoes
5891,deploy_data/images/5891.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Puma Men's Stripe Polo Black T-shirt
38630,deploy_data/images/38630.jpg,Women,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Nike Women Purple Polo T-shirt
4943,deploy_data/images/4943.jpg,Men,Apparel,Topwear,Shirts,White,Summer,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear
11188,deploy_data/images/11188.jpg,Men,Accessories,Watches,Watches,Silver,Winter,Casual,Carrera Men Dial steel finish strap Silver Watches
10866,deploy_data/images/10866.jpg,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Wrangler Men Motor Rider Red T-Shirts
59607,deploy_data/images/59607.jpg,Women,Apparel,Saree,Sarees,Grey,Fall,Ethnic,FNF Pink & Grey Wedding Collection Sari
15528,deploy_data/images/15528.jpg,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,Puma Men Scribble Black Tshirts
45258,deploy_data/images/45258.jpg,Men,Accessories,Watches,Watches,Black,Winter,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60
42841,deploy_data/images/42841.jpg,Women,Accessories,Bags,Handbags,Beige,Summer,Casual,French Connection Women Beige Handbag
22198,deploy_data/images/22198.jpg,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,Timberland Men Black Casual Shoes
29570,deploy_data/images/29570.jpg,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,Casual,Vans Men Classic Slip-On Purple & Black Shoes
43993,deploy_data/images/43993.jpg,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,Casual,Police Women Passion Perfume
6628,deploy_data/images/6628.jpg,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,ADIDAS Men's Lowell White Silver Shoe
54924,deploy_data/images/54924.jpg,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,Do U Speak Green Men Blue Shorts
26538,deploy_data/images/26538.jpg,Men,Footwear,Shoes,Casual Shoes,Red,Fall,Casual,ID Men Red Shoes
35913,deploy_data/images/35913.jpg,Women,Accessories,Bags,Handbags,Black,Summer,Casual,Peperone Women Black & White Handbag
49495,deploy_data/images/49495.jpg,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,Casual,Vans Men Khaki Shoes
9660,deploy_data/images/9660.jpg,Men,Apparel,Topwear,Shirts,Pink,Fall,Casual,Indigo Nation Men Reversible Bling Pink Shirts
2288,deploy_data/images/2288.jpg,Women,Apparel,Topwear,Tshirts,Black,Fall,Sports,Nike Women Black T-shirt
23876,deploy_data/images/23876.jpg,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,ADIDAS Men Blue Sweatshirt
18237,deploy_data/images/18237.jpg,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Manchester United Men Solid Red Tshirt
54118,deploy_data/images/54118.jpg,Women,Footwear,Shoes,Heels,Black,Winter,Casual,Rocia Women Black Flats
2872,deploy_data/images/2872.jpg,Women,Footwear,Shoes,Heels,Brown,Winter,Casual,Catwalk Women Leather Flats
49653,deploy_data/images/49653.jpg,Women,Apparel,Topwear,Tops,Green,Summer,Casual,Mineral Women Green Top
8574,deploy_data/images/8574.jpg,Women,Footwear,Sandal,Sandals,Pink,Fall,Casual,Crocs Dora Boots Pink Sandals
16957,deploy_data/images/16957.jpg,Men,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,Image Men Sunglasses
19123,deploy_data/images/19123.jpg,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,Casual,Lotto Men XL Water Man Silver Slippers
13419,deploy_data/images/13419.jpg,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts
17885,deploy_data/images/17885.jpg,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,Casual,Levis Men Comfort Style Grey Innerwear Vest
43369,deploy_data/images/43369.jpg,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,Casual,Reebok Men Black Possession Flip Flops
48781,deploy_data/images/48781.jpg,Women,Accessories,Jewellery,Pendant,Silver,Summer,Casual,Lucera Women Silver Pendant
44970,deploy_data/images/44970.jpg,Men,Accessories,Watches,Watches,White,Winter,Casual,Maxima Men White Dial Analog Chronograph Watch
56489,deploy_data/images/56489.jpg,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,,Streetwear Ash Nail Polish # 31
39524,deploy_data/images/39524.jpg,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,Casual,Peter England Unisex Orange Sleeve Bag
33822,deploy_data/images/33822.jpg,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,Puma Men Axis White & Grey Sports Shoes
58513,deploy_data/images/58513.jpg,Women,Apparel,Topwear,Tops,Off White,Summer,Casual,Tonga Women Maroon Top
25947,deploy_data/images/25947.jpg,Women,Accessories,Scarves,Scarves,Brown,Summer,Casual,Femella Women Brown Scarf
52029,deploy_data/images/52029.jpg,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,,Just Natural Unisex Charcoal Rain Jacket
5865,deploy_data/images/5865.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,ADIDAS Men's Twelve Faster T-shirt
39716,deploy_data/images/39716.jpg,Women,Apparel,Dress,Dresses,Blue,Summer,Casual,Arrow Woman Women Blue Dress
25349,deploy_data/images/25349.jpg,Men,Apparel,Innerwear,Briefs,Red,Summer,Casual,Levis Men Red Brief
11940,deploy_data/images/11940.jpg,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,Ganuchi Men Casual Black Sandals
55802,deploy_data/images/55802.jpg,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124
29584,deploy_data/images/29584.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Indigo Nation Men Printed Black T-shirt
43967,deploy_data/images/43967.jpg,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,Casual,DKNY Women Red Delicious Perfume
28456,deploy_data/images/28456.jpg,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Sports,Urban Yoga Women Blue Skirt With Leggings
34009,deploy_data/images/34009.jpg,Girls,Apparel,Topwear,Tops,Black,Summer,Casual,Gini and Jony Girls Black Top
19311,deploy_data/images/19311.jpg,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Nike Men Air Rift MTR White Casual Shoe
42089,deploy_data/images/42089.jpg,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,ADIDAS Men White Corona Sports Shoes
22950,deploy_data/images/22950.jpg,Unisex,Accessories,Watches,Watches,Black,Winter,Casual,Fastrack Unisex Black Dial Watch 9915PP13
49461,deploy_data/images/49461.jpg,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,Casual,Vans Men Blue Era Scilla Plaid Shoes
8746,deploy_data/images/8746.jpg,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,Casual,Crocs Kids Navy Blue Clogs
9694,deploy_data/images/9694.jpg,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Classic Polo Men Vulcan White Polo Tshirts
23882,deploy_data/images/23882.jpg,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,Sports,Fila Men Destiny Grey Sports Shoes
34835,deploy_data/images/34835.jpg,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,Sports,ADIDAS Men Blue Chill Sports Shoes
15984,deploy_data/images/15984.jpg,Men,Apparel,Topwear,Shirts,Yellow,Fall,Casual,Turtle Check Men Yellow Shirt
41268,deploy_data/images/41268.jpg,Men,Accessories,Wallets,Wallets,Black,Summer,Casual,Arrow Men Black Wallet
11518,deploy_data/images/11518.jpg,Women,Footwear,Shoes,Heels,Grey,Winter,Casual,Catwalk Women Gun Metal Grey Heels
14856,deploy_data/images/14856.jpg,Women,Accessories,Wallets,Wallets,Beige,Summer,Casual,United Colors of Benetton Women Solid Beige Wallets
33648,deploy_data/images/33648.jpg,Men,Footwear,Sandal,Sandals,Brown,Summer,Casual,Lotto Men Ridge Brown Sandals
59297,deploy_data/images/59297.jpg,Men,Apparel,Topwear,Shirts,White,Fall,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt
28032,deploy_data/images/28032.jpg,Men,Apparel,Innerwear,Briefs,White,Summer,Casual,Jockey ELANCE Men Bikini White Brief 1005
27846,deploy_data/images/27846.jpg,Women,Apparel,Topwear,Blazers,Charcoal,Summer,Formal,Scullers For Her Charcoal Blazer
26994,deploy_data/images/26994.jpg,Women,Apparel,Bottomwear,Jeans,Black,Summer,Casual,Jealous 21 Women Black Jeans
49839,deploy_data/images/49839.jpg,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,Casual,iPanema Women Red Flip Flops
31923,deploy_data/images/31923.jpg,Women,Accessories,Bags,Handbags,Blue,Summer,Casual,Fabindia Women Blue Silk Sling Bag
2618,deploy_data/images/2618.jpg,Women,Footwear,Shoes,Flats,Silver,Spring,Casual,Carlton London Women Silver Wedge Sandal
54588,deploy_data/images/54588.jpg,Women,Apparel,Topwear,Kurtas,Green,Summer,Ethnic,Sushilas Women Printed Green Kurta
49005,deploy_data/images/49005.jpg,Women,Accessories,Jewellery,Ring,Silver,Summer,Casual,Lucera Women Silver Ring
8322,deploy_data/images/8322.jpg,Boys,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear
13841,deploy_data/images/13841.jpg,Unisex,Accessories,Watches,Watches,White,Winter,Casual,ADIDAS Unisex Three Small Dials White Watches
28200,deploy_data/images/28200.jpg,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses
12993,deploy_data/images/12993.jpg,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,ADIDAS Kids Adispeed Black Sports Shoes
7158,deploy_data/images/7158.jpg,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,Scullers Men  Green Check Shirt
18495,deploy_data/images/18495.jpg,Men,Footwear,Sandal,Sandals,White,Fall,Casual,Puma Men Fashion Cat White Slipper
8110,deploy_data/images/8110.jpg,Men,Accessories,Watches,Watches,Black,Winter,Casual,Fastrack Men Economy 2 Analg Black Watch
19547,deploy_data/images/19547.jpg,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,United Colors of Benetton Men Solid Blue Sweatshirt
7964,deploy_data/images/7964.jpg,Men,Apparel,Topwear,Tshirts,Black,Fall,Sports,Puma Men's Large Logo Graphic Black T-shirt
36934,deploy_data/images/36934.jpg,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,Casual,Giorgio Armani Women Idole Perfume
39140,deploy_data/images/39140.jpg,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,Ethnic,Aneri Women Black & Maroon Salwar Suit
20851,deploy_data/images/20851.jpg,Women,Accessories,Bags,Clutches,Red,Winter,Casual,Spice Art Women Ribbon Embroidery Red Clutch
41866,deploy_data/images/41866.jpg,Men,Footwear,Sandal,Sandals,Beige,Fall,Casual,Estd. 1977 Men Beige & Green Sandals
58177,deploy_data/images/58177.jpg,Women,Accessories,Bags,Handbags,Brown,Summer,Casual,Rocky S Women Brown Handbag
44528,deploy_data/images/44528.jpg,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,Coolers Men Black Sandals
16392,deploy_data/images/16392.jpg,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Levis Men Check Red Shirts
51455,deploy_data/images/51455.jpg,Women,Apparel,Topwear,Shrug,Pink,Summer,Casual,Tonga Women Pink Printed Shrug
50587,deploy_data/images/50587.jpg,Men,Apparel,Innerwear,Briefs,Grey,Summer,Casual,Chromozome Men Grey Briefs
17240,deploy_data/images/17240.jpg,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt
47530,deploy_data/images/47530.jpg,Women,Footwear,Shoes,Flats,Copper,Winter,Casual,Portia Women Copper-Toned & Brown Sandals
6617,deploy_data/images/6617.jpg,Men,Apparel,Topwear,Shirts,Black,Summer,Casual,Spykar Men Black and white Check Shirt
12732,deploy_data/images/12732.jpg,Unisex,Accessories,Bags,Backpacks,Black,Fall,Sports,Nike Unisex Swoosh Black Backpack
3365,deploy_data/images/3365.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Myntra Men's Brain Black T-shirt
42042,deploy_data/images/42042.jpg,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes
23849,deploy_data/images/23849.jpg,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes
43190,deploy_data/images/43190.jpg,Women,Accessories,Watches,Watches,White,Winter,Casual,Fastrack Women White Dial Watch
48578,deploy_data/images/48578.jpg,Men,Accessories,Jewellery,Bracelet,Steel,Summer,Casual,Revv Men Steel Bracelet
30462,deploy_data/images/30462.jpg,Women,Apparel,Innerwear,Bra,Black,Summer,Casual,Lovable Women All Day Long Black Bra
18208,deploy_data/images/18208.jpg,Men,Accessories,Headwear,Caps,White,Fall,Casual,Manchester United Men Solid White Cap
54127,deploy_data/images/54127.jpg,Women,Footwear,Shoes,Heels,Black,Winter,Casual,Rocia Women Black Heels
10065,deploy_data/images/10065.jpg,Men,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,Puma Men ducati logo tee Yellow Tshirts
24250,deploy_data/images/24250.jpg,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Numero Uno Men White Casual Shoes
32335,deploy_data/images/32335.jpg,Men,Accessories,Watches,Watches,Silver,Winter,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y
25382,deploy_data/images/25382.jpg,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,Casual,Levis Men White Innerwear Vest
56670,deploy_data/images/56670.jpg,Men,Accessories,Watches,Watches,Black,Winter,Casual,Maxima Men Black Dial Watch
5092,deploy_data/images/5092.jpg,Men,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt
10859,deploy_data/images/10859.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts
59638,deploy_data/images/59638.jpg,Women,Apparel,Saree,Sarees,Green,Fall,Ethnic,FNF Green Wedding Collection Sari
15517,deploy_data/images/15517.jpg,Men,Footwear,Shoes,Casual Shoes,Red,Fall,Casual,Rockport Men LLandro Red Casual Shoes
4140,deploy_data/images/4140.jpg,Women,Footwear,Shoes,Casual Shoes,Green,Winter,Casual,Skechers Women Green Shoe
36795,deploy_data/images/36795.jpg,Men,Accessories,Watches,Watches,Silver,Winter,Casual,Maxima Men Ssteele Silver Dial Watch
40527,deploy_data/images/40527.jpg,Men,Accessories,Watches,Watches,Gold,Winter,Casual,Titan Men Gold Dial Watch
10257,deploy_data/images/10257.jpg,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,John Miller Men Solid Type Black Trousers
24062,deploy_data/images/24062.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Locomotive Men Navy Blue Printed T-shirt
45869,deploy_data/images/45869.jpg,Men,Accessories,Watches,Watches,Brown,Winter,Casual,Maxima Men Brown Dial Watch
11385,deploy_data/images/11385.jpg,Women,Apparel,Topwear,Sweatshirts,Black,Fall,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts
53130,deploy_data/images/53130.jpg,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,Catwalk Women Brown Sandals
44187,deploy_data/images/44187.jpg,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,Casual,Nike Fragrances Women 5th Element Perfume 150 ml
21510,deploy_data/images/21510.jpg,Women,Accessories,Bags,Handbags,White,Winter,Casual,Kiara Women Graphiti White Handbag
51667,deploy_data/images/51667.jpg,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,Casual,Louis Philippe Men Grey Sunglasses
22395,deploy_data/images/22395.jpg,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,Mark Taylor Men Striped Blue Shirt
35322,deploy_data/images/35322.jpg,Women,Accessories,Jewellery,Earrings,Silver,Winter,Ethnic,Fabindia Women Anusuya Silver Earrings
6425,deploy_data/images/6425.jpg,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Lotto Unisex Canvas Black Check Shoe
18806,deploy_data/images/18806.jpg,Men,Accessories,Belts,Belts,Tan,Summer,Casual,Peter England Men Casual Tan Belt
23247,deploy_data/images/23247.jpg,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Arrow Men Formal Black Shoe
17072,deploy_data/images/17072.jpg,Women,Accessories,Belts,Belts,Grey,Winter,Casual,Lino Perros Women Weaved  Grey Belt
31782,deploy_data/images/31782.jpg,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,Lee Women Paula Blue Top
42270,deploy_data/images/42270.jpg,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Vans Unisex Black & Grey Classic Shoes
12500,deploy_data/images/12500.jpg,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,United Colors of Benetton Men Short Black Shirts
26735,deploy_data/images/26735.jpg,Men,Personal Care,Fragrance,Deodorant,Black,Spring,Casual,Reebok Men Pack of 2 Pirates of the Caribbean Deos
30650,deploy_data/images/30650.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Nike Men Printed Black T-shirt
56026,deploy_data/images/56026.jpg,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual,Colorbar Soft Touch Mousse Lipstick 025
21948,deploy_data/images/21948.jpg,Women,Accessories,Bags,Handbags,Brown,Winter,Casual,Murcia Women Casual Brown Handbag
32563,deploy_data/images/32563.jpg,Women,Apparel,Bottomwear,Trousers,Blue,Summer,Casual,ONLY Women directoire blue Trousers
58980,deploy_data/images/58980.jpg,Women,Personal Care,Fragrance,Deodorant,Pink,Spring,Casual,Colour me Women Flowers Deo
40143,deploy_data/images/40143.jpg,Girls,Apparel,Topwear,Tops,Blue,Summer,Casual,Gini and Jony Girls Pretty Blossom Blue Top
10633,deploy_data/images/10633.jpg,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,Formal,Carlton London Men Formal Brown Formal Shoes
24406,deploy_data/images/24406.jpg,Women,Apparel,Topwear,Kurtas,Red,Summer,Ethnic,Vishudh Women Red Printed Kurta
4716,deploy_data/images/4716.jpg,Unisex,Accessories,Watches,Watches,Black,Winter,Sports,ADIDAS Unisex Response ST Analogue Black Watch
21174,deploy_data/images/21174.jpg,Women,Apparel,Topwear,Tops,Beige,Fall,Casual,s.Oliver Women Stripes Beige Top
15341,deploy_data/images/15341.jpg,Women,Apparel,Bottomwear,Shorts,Pink,Fall,Sports,Nike Women Solid Pink Shorts
52486,deploy_data/images/52486.jpg,Women,Apparel,Innerwear,Camisoles,Maroon,Winter,Casual,Red Rose Maroon Camisole
53554,deploy_data/images/53554.jpg,Men,Apparel,Innerwear,Boxers,Multi,Summer,Casual,Probase Multicoloured Printed Boxers
14293,deploy_data/images/14293.jpg,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Classic Polo Men Stripes Blue Tshirts
47366,deploy_data/images/47366.jpg,Women,Accessories,Bags,Handbags,Blue,Summer,Casual,Baggit Women Blue Bag
6041,deploy_data/images/6041.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt
23623,deploy_data/images/23623.jpg,Girls,Apparel,Topwear,Tops,Pink,Fall,Casual,Doodle Kids Girls Pink I love Shopping Top
17416,deploy_data/images/17416.jpg,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,Lotto Men Atlantica Black Sports Shoe
9835,deploy_data/images/9835.jpg,Women,Apparel,Topwear,Tshirts,Grey,Fall,Casual,Little Miss Women Printed Grey T-shirt
29319,deploy_data/images/29319.jpg,Unisex,Accessories,Bags,Backpacks,Red,Summer,Casual,ADIDAS Unisex Chicago Bulls Red Backpack
7193,deploy_data/images/7193.jpg,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,Jealous 21 Women Black Jegging
